region,region_code,demo_cost_index,note
서울,SEOUL,1.35,데모용 상대지수이며 실거래 시세가 아님
경기,GYEONGGI,1.15,데모용 상대지수이며 실거래 시세가 아님
인천,INCHEON,1.08,데모용 상대지수이며 실거래 시세가 아님
부산,BUSAN,1.02,데모용 상대지수이며 실거래 시세가 아님
대구,DAEGU,0.93,데모용 상대지수이며 실거래 시세가 아님
대전,DAEJEON,0.98,데모용 상대지수이며 실거래 시세가 아님
광주,GWANGJU,0.91,데모용 상대지수이며 실거래 시세가 아님
울산,ULSAN,0.94,데모용 상대지수이며 실거래 시세가 아님
세종,SEJONG,1.00,데모용 상대지수이며 실거래 시세가 아님
강원,GANGWON,0.84,데모용 상대지수이며 실거래 시세가 아님
충북,CHUNGBUK,0.86,데모용 상대지수이며 실거래 시세가 아님
충남,CHUNGNAM,0.87,데모용 상대지수이며 실거래 시세가 아님
전북,JEONBUK,0.80,데모용 상대지수이며 실거래 시세가 아님
전남,JEONNAM,0.78,데모용 상대지수이며 실거래 시세가 아님
경북,GYEONGBUK,0.82,데모용 상대지수이며 실거래 시세가 아님
경남,GYEONGNAM,0.86,데모용 상대지수이며 실거래 시세가 아님
제주,JEJU,1.04,데모용 상대지수이며 실거래 시세가 아님
