age,monthly_income,assets,deposit,monthly_rent,management_fee,monthly_debt_payment,household_size,region,region_cost_index,is_unemployed,car_value,burden_class
32,3209744,16357740,51328880,603801,129868,0,1,경기,1.15,0,0,0
36,1968479,53252054,12092037,255334,118429,779358,1,전남,0.78,0,0,1
32,7060599,29246792,23253459,344758,66173,0,1,충남,0.87,0,13316082,0
31,4028613,9123398,39647184,569319,205497,7466,1,울산,0.94,1,0,0
28,1250292,56856011,18836415,316980,116856,0,1,울산,0.94,0,0,1
24,3290893,28740347,11732275,778165,90010,0,1,경북,0.82,0,0,1
24,4131235,6990506,29537379,610701,68761,0,1,경기,1.15,0,21908310,0
34,3687964,16688659,14664003,394402,38760,0,2,충남,0.87,0,0,0
20,5852210,40136604,21157644,409944,137085,406997,2,부산,1.02,0,0,0
20,5351750,13868442,49540019,637464,85983,0,2,경기,1.15,0,5882330,0
27,1407814,99404484,13781341,352991,102616,126253,2,세종,1.0,1,11295241,2
35,8119724,65766704,36331712,368623,91796,0,1,제주,1.04,0,0,0
32,4563024,11330921,4717928,584962,126423,640938,1,전북,0.8,0,0,0
31,2622252,16363932,8294000,311206,121234,0,1,전북,0.8,0,17441033,0
30,2405198,60057479,6881055,301299,133922,0,1,전북,0.8,0,3050116,0
21,5205826,30504541,27573170,230300,134818,198340,1,전남,0.78,0,0,0
25,1331719,33685680,48955681,180000,86941,0,1,세종,1.0,1,0,1
20,926838,5235220,12730345,622961,66627,154684,2,인천,1.08,1,0,2
34,2751443,45078528,7458878,366916,102843,97524,2,경북,0.82,0,10105250,0
34,3553996,28297025,14684477,561240,128787,0,3,울산,0.94,0,0,0
24,2806546,34150379,8063234,433492,115789,510737,3,세종,1.0,0,0,1
25,1731251,75273483,11060843,351915,44594,0,2,광주,0.91,0,0,1
25,5027063,25779938,15959811,362706,114452,0,1,부산,1.02,0,3154133,0
37,2563184,29626367,13569016,473469,73900,501535,2,경남,0.86,0,0,1
29,7269691,33201187,2801705,253269,107935,0,2,전남,0.78,0,0,0
35,3475913,65558734,9998087,439111,142678,250773,2,충북,0.86,0,17685606,0
28,5259525,9924836,52514637,343571,25000,0,1,광주,0.91,0,0,0
33,4000471,15490645,3416564,220038,159909,169284,1,전남,0.78,0,0,0
30,5368861,28723712,17241744,304973,71869,0,3,강원,0.84,0,0,0
24,3897703,55488868,17826453,412854,145537,0,1,울산,0.94,0,0,0
37,3374557,40696921,65595273,288372,140116,462552,1,울산,0.94,0,9213140,0
33,4880425,23929049,20218218,700891,101899,238614,1,부산,1.02,0,16401528,0
35,8882736,85364120,62518225,465946,131206,134784,1,경기,1.15,0,21012888,0
38,2715915,39417864,16275383,340659,83928,111098,1,강원,0.84,0,28846916,0
24,4292890,19469032,9686422,338713,48513,0,4,경남,0.86,0,2717170,0
20,3043129,42779309,23307293,469929,155121,0,2,경기,1.15,0,24980369,0
31,3791444,44205388,4651239,295439,84129,0,2,경북,0.82,0,0,0
25,3105795,34394254,17768650,244075,171067,0,1,경북,0.82,0,0,0
28,1206004,17842498,11390271,498549,141366,0,1,대구,0.93,0,0,2
23,2798438,54703125,9742023,595538,79359,0,1,충북,0.86,0,0,0
27,4687739,89581095,40515928,377877,134359,0,1,인천,1.08,0,0,0
27,2194826,40484638,11456204,414491,126076,341083,1,전북,0.8,0,0,0
26,2409340,7619463,2043082,315750,169429,0,2,충남,0.87,1,0,0
34,3300565,129590212,23806570,401238,92907,495865,4,광주,0.91,0,0,1
31,2808922,46346392,35084555,304210,107171,0,1,경기,1.15,0,0,0
28,4502542,14018082,79542524,238356,128045,0,1,제주,1.04,0,44873318,0
21,4087711,52686957,20283265,287279,111316,0,1,울산,0.94,0,8653777,0
30,3654564,70050563,11469149,365097,60261,0,1,경남,0.86,0,0,0
22,4720802,29289724,23034045,211811,144659,0,1,충남,0.87,0,14986998,0
25,3328341,5119701,4747855,180000,163096,0,1,전남,0.78,0,0,0
27,1503710,36980761,9035067,180000,112966,37123,1,전북,0.8,0,0,0
21,2592311,10521311,29162918,406259,67897,252419,1,부산,1.02,0,0,0
27,1403892,45899548,13833578,297191,106061,0,2,광주,0.91,0,0,2
24,4046323,15475842,2895659,358697,78854,0,1,울산,0.94,0,8824515,0
36,2095950,44385318,14224704,481523,102930,491353,1,세종,1.0,1,0,1
37,4572562,26942645,27034258,477698,126190,365954,1,서울,1.35,0,0,0
19,3763887,36055290,12343795,363005,131442,0,1,강원,0.84,0,420323,0
31,4624413,57402796,3884395,789446,162941,139160,1,인천,1.08,0,0,0
32,1548369,58050591,789429,323223,129549,0,2,전북,0.8,0,4299703,1
26,2912139,15107328,28382007,332905,72111,0,2,충남,0.87,0,0,0
28,1659851,23936944,25834395,411644,132785,149825,1,경남,0.86,0,0,1
35,2614466,30378818,8175388,251710,97599,0,1,전북,0.8,0,0,0
26,6111241,36186116,8954862,332592,103967,150227,1,광주,0.91,0,0,0
20,4880431,68051371,14060224,452018,112389,167906,1,제주,1.04,0,0,0
26,4054893,27004619,30837299,401479,114748,0,1,광주,0.91,0,1553264,0
24,2820869,40372993,19808653,301313,147001,32002,2,대전,0.98,0,1094353,0
27,1989525,26700053,39670584,412110,126309,0,1,경남,0.86,0,0,1
23,2021897,15562645,18026729,605853,68527,320433,1,광주,0.91,1,0,1
22,4917165,6201379,9688383,265771,62726,0,1,경기,1.15,0,5201596,0
39,3637826,34525847,9952706,477738,133437,68391,1,울산,0.94,0,0,0
21,1542330,8997003,20990563,318585,126014,0,2,전남,0.78,0,0,1
33,3190330,19024069,55307556,345272,156579,368208,1,부산,1.02,0,23043350,0
34,1339653,41683320,19726754,452311,107234,274553,1,울산,0.94,0,1215771,2
31,4310012,43861859,41316501,623563,123560,0,1,인천,1.08,0,0,0
38,2264034,63161364,21451480,407143,125850,263849,2,충남,0.87,0,0,1
19,800000,3547806,22777180,560768,57596,0,1,세종,1.0,1,0,2
25,4335564,50303322,57410020,357740,55131,863487,1,대전,0.98,0,9761644,0
22,2404039,978179,7024379,516744,138196,0,1,부산,1.02,1,830531,0
31,3370541,20472669,11517421,301795,121403,0,1,강원,0.84,0,5863667,0
32,7826974,32948640,10176333,396716,156276,0,2,충남,0.87,0,0,0
37,4007596,28541503,15233610,341589,173451,273812,1,경남,0.86,0,0,0
26,2311300,29475047,3993813,449431,100166,0,1,울산,0.94,0,0,0
23,3812935,32583780,18419649,252831,101423,414052,1,인천,1.08,0,0,0
38,2696968,48641895,8108517,221076,60560,51795,1,경북,0.82,0,0,0
33,5258511,26812132,9042469,549224,127053,0,1,충북,0.86,0,2442357,0
35,3441687,58049510,35515789,536723,37101,876668,2,충남,0.87,0,0,0
28,3591280,53121764,10202678,289408,81339,394859,1,경기,1.15,0,0,0
28,1640372,33494076,68818525,267062,122363,587756,1,대전,0.98,0,3962164,2
27,3131533,57933659,15864064,238672,84100,46211,1,전남,0.78,0,0,0
34,2977093,22856172,1221379,417525,106386,228165,2,경북,0.82,0,9333974,0
23,1963502,15872633,36008378,369277,103434,76351,1,울산,0.94,0,0,1
39,2772906,9561832,730202,457191,68241,0,1,전남,0.78,0,13094506,0
22,3678537,42078494,4515598,195304,35735,240350,1,경북,0.82,0,0,0
28,3044301,31904124,21855503,437789,134523,0,1,광주,0.91,0,0,0
25,1661862,24701398,12592818,337721,102695,0,3,경남,0.86,0,0,2
32,2711924,29759830,27799451,290313,122345,189176,1,대구,0.93,0,0,0
33,2494008,26063123,9863416,479964,108412,223050,1,대구,0.93,0,0,0
38,3314651,24081315,9150970,359978,106468,0,1,충남,0.87,0,3381692,0
